event_date,currency,central_rate,cash,bank_transfer,sell_price
20240131,KRW,0.0,16.15,16.35,20.15
20240131,USD,23.991,24.17,24.21,24.63
20240131,SGD,0.0,17.695,17.705,18.505
20240131,SEK,0.0,0.0,2.286,2.421
20240131,NZD,0.0,14.752,14.762,15.342
20240131,NOK,0.0,0.0,2.256,2.376
20240131,LAK,0.0,0.0,0.68,1.38
20240131,JPY,0.0,162.68,162.83,172.38
20240131,HKD,0.0,2.994,3.004,3.199
20240131,GBP,0.0,30.492,30.502,31.672
20240131,EUR,0.0,25.626,25.836,27.126
20240131,DKK,0.0,0.0,3.463,3.633
20240131,CNY,0.0,0.0,3.337,3.477
20240131,CHF,0.0,27.889,27.909,28.859
20240131,CAD,0.0,17.944,17.954,18.654
20240131,AUD,0.0,15.803,15.823,16.423
20240131,THB,0.0,637.22,677.22,705.22
20240130,CAD,0.0,17.861,17.871,18.571
20240130,USD,24.023,24.145,24.185,24.605
20240130,CHF,0.0,27.731,27.751,28.701
20240130,CNY,0.0,0.0,3.329,3.469
20240130,DKK,0.0,0.0,3.458,3.628
20240130,EUR,0.0,25.584,25.794,27.084
20240130,GBP,0.0,30.334,30.344,31.514
20240130,HKD,0.0,2.991,3.001,3.196
20240130,JPY,0.0,160.82,160.97,170.52
20240130,AUD,0.0,15.745,15.765,16.365
20240130,LAK,0.0,0.0,0.68,1.38
20240130,NOK,0.0,0.0,2.252,2.372
20240130,NZD,0.0,14.662,14.672,15.252
20240130,SEK,0.0,0.0,2.265,2.4
20240130,SGD,0.0,17.634,17.644,18.444
20240130,THB,0.0,635.74,675.74,703.74
20240130,KRW,0.0,16.12,16.32,20.12
20240129,AUD,0.0,15.863,15.883,16.483
20240129,KRW,0.0,16.2,16.4,20.2
20240129,CAD,0.0,17.938,17.948,18.648
20240129,THB,0.0,639.1,679.1,707.1
20240129,SGD,0.0,17.742,17.752,18.552
20240129,SEK,0.0,0.0,2.269,2.404
20240129,USD,24.036,24.295,24.335,24.755
20240129,NOK,0.0,0.0,2.268,2.388
20240129,LAK,0.0,0.0,0.69,1.39
20240129,NZD,0.0,14.737,14.747,15.327
20240129,JPY,0.0,161.99,162.14,171.69
20240129,HKD,0.0,3.011,3.021,3.216
20240129,GBP,0.0,30.566,30.576,31.746
20240129,EUR,0.0,25.666,25.876,27.166
20240129,DKK,0.0,0.0,3.469,3.639
20240129,CNY,0.0,0.0,3.348,3.488
20240129,CHF,0.0,27.895,27.915,28.865
20240127,THB,0.0,636.95,676.95,704.95
20240127,SGD,0.0,17.781,17.791,18.591
20240127,SEK,0.0,0.0,2.28,2.415
20240127,NZD,0.0,14.724,14.734,15.314
20240127,NOK,0.0,0.0,2.28,2.4
20240127,LAK,0.0,0.0,0.69,1.39
20240127,KRW,0.0,16.2,16.4,20.2
20240127,CAD,0.0,17.977,17.987,18.687
20240127,JPY,0.0,161.82,161.97,171.52
20240127,HKD,0.0,3.018,3.028,3.223
20240127,GBP,0.0,30.689,30.699,31.869
20240127,EUR,0.0,25.841,26.051,27.341
20240127,DKK,0.0,0.0,3.492,3.662
20240127,CNY,0.0,0.0,3.357,3.497
20240127,CHF,0.0,27.934,27.954,28.904
20240127,AUD,0.0,15.855,15.875,16.475
20240127,USD,24.036,24.35,24.39,24.81
20240126,JPY,0.0,162.08,162.23,171.78
20240126,AUD,0.0,15.882,15.902,16.502
20240126,HKD,0.0,3.019,3.029,3.224
20240126,USD,24.036,24.35,24.39,24.81
20240126,CAD,0.0,17.972,17.982,18.682
20240126,CHF,0.0,27.964,27.984,28.934
20240126,CNY,0.0,0.0,3.357,3.497
20240126,DKK,0.0,0.0,3.496,3.666
20240126,GBP,0.0,30.732,30.742,31.912
20240126,EUR,0.0,25.873,26.083,27.373
20240126,KRW,0.0,16.23,16.43,20.23
20240126,LAK,0.0,0.0,0.69,1.39
20240126,NOK,0.0,0.0,2.283,2.403
20240126,NZD,0.0,14.748,14.758,15.338
20240126,SEK,0.0,0.0,2.285,2.42
20240126,SGD,0.0,17.798,17.808,18.608
20240126,THB,0.0,638.01,678.01,706.01
20240125,KRW,0.0,16.23,16.43,20.23
20240125,THB,0.0,635.16,675.16,703.16
20240125,SGD,0.0,17.789,17.799,18.599
20240125,SEK,0.0,0.0,2.281,2.416
20240125,NZD,0.0,14.787,14.797,15.377
20240125,NOK,0.0,0.0,2.27,2.39
20240125,LAK,0.0,0.0,0.69,1.39
20240125,CHF,0.0,27.837,27.857,28.807
20240125,JPY,0.0,162.53,162.68,172.23
20240125,HKD,0.0,3.017,3.027,3.222
20240125,GBP,0.0,30.686,30.696,31.866
20240125,EUR,0.0,25.804,26.014,27.304
20240125,DKK,0.0,0.0,3.487,3.657
20240125,CNY,0.0,0.0,3.362,3.502
20240125,CAD,0.0,17.912,17.922,18.622
20240125,AUD,0.0,15.877,15.897,16.497
20240125,USD,24.031,24.355,24.395,24.815
20240124,JPY,0.0,162.95,163.1,172.65
20240124,USD,24.03,24.355,24.395,24.815
20240124,CAD,0.0,17.938,17.948,18.648
20240124,CHF,0.0,27.976,27.996,28.946
20240124,CNY,0.0,0.0,3.37,3.51
20240124,DKK,0.0,0.0,3.508,3.678
20240124,EUR,0.0,25.967,26.177,27.467
20240124,GBP,0.0,30.808,30.818,31.988
20240124,HKD,0.0,3.017,3.027,3.222
20240124,KRW,0.0,16.29,16.49,20.29
20240124,LAK,0.0,0.0,0.69,1.39
20240124,NOK,0.0,0.0,2.275,2.395
20240124,NZD,0.0,14.815,14.825,15.405
20240124,SEK,0.0,0.0,2.287,2.422
20240124,SGD,0.0,17.833,17.843,18.643
20240124,THB,0.0,636.99,676.99,704.99
20240124,AUD,0.0,15.927,15.947,16.547
20240123,JPY,0.0,161.26,161.41,170.96
20240123,CAD,0.0,17.913,17.923,18.623
20240123,CHF,0.0,27.679,27.699,28.649
20240123,CNY,0.0,0.0,3.356,3.496
20240123,DKK,0.0,0.0,3.482,3.652
20240123,EUR,0.0,25.772,25.982,27.272
20240123,GBP,0.0,30.558,30.568,31.738
20240123,HKD,0.0,3.012,3.022,3.217
20240123,KRW,0.0,16.15,16.35,20.15
20240123,LAK,0.0,0.0,0.69,1.39
20240123,NOK,0.0,0.0,2.253,2.373
20240123,NZD,0.0,14.662,14.672,15.252
20240123,SEK,0.0,0.0,2.267,2.402
20240123,SGD,0.0,17.758,17.768,18.568
20240123,THB,0.0,634.61,674.61,702.61
20240123,USD,24.03,24.325,24.365,24.785
20240123,AUD,0.0,15.818,15.838,16.438
20240122,CAD,0.0,17.946,17.956,18.656
20240122,AUD,0.0,15.856,15.876,16.476
20240122,USD,24.031,24.315,24.355,24.775
20240122,JPY,0.0,161.83,161.98,171.53
20240122,THB,0.0,636.84,676.84,704.84
20240122,CHF,0.0,27.745,27.765,28.715
20240122,CNY,0.0,0.0,3.345,3.485
20240122,DKK,0.0,0.0,3.497,3.667
20240122,GBP,0.0,30.681,30.691,31.861
20240122,HKD,0.0,3.012,3.022,3.217
20240122,EUR,0.0,25.896,26.106,27.396
20240122,KRW,0.0,16.13,16.33,20.13
20240122,LAK,0.0,0.0,0.69,1.39
20240122,NOK,0.0,0.0,2.26,2.38
20240122,NZD,0.0,14.725,14.735,15.315
20240122,SEK,0.0,0.0,2.278,2.413
20240122,SGD,0.0,17.754,17.764,18.564
20240120,KRW,0.0,16.2,16.4,20.2
20240120,THB,0.0,637.92,677.92,705.92
20240120,SGD,0.0,17.75,17.76,18.56
20240120,SEK,0.0,0.0,2.27,2.405
20240120,NZD,0.0,14.739,14.749,15.329
20240120,NOK,0.0,0.0,2.261,2.381
20240120,LAK,0.0,0.0,0.69,1.39
20240120,AUD,0.0,15.875,15.895,16.495
20240120,JPY,0.0,161.47,161.62,171.17
20240120,HKD,0.0,3.01,3.02,3.215
20240120,GBP,0.0,30.617,30.627,31.797
20240120,EUR,0.0,25.889,26.099,27.389
20240120,DKK,0.0,0.0,3.497,3.667
20240120,CNY,0.0,0.0,3.342,3.482
20240120,CHF,0.0,27.735,27.755,28.705
20240120,CAD,0.0,17.966,17.976,18.676
20240120,USD,24.037,24.295,24.335,24.755
20240119,KRW,0.0,16.15,16.35,20.15
20240119,USD,24.037,24.295,24.335,24.755
20240119,SGD,0.0,17.728,17.738,18.538
20240119,SEK,0.0,0.0,2.268,2.403
20240119,NZD,0.0,14.715,14.725,15.305
20240119,NOK,0.0,0.0,2.253,2.373
20240119,LAK,0.0,0.0,0.69,1.39
20240119,JPY,0.0,161.43,161.58,171.13
20240119,HKD,0.0,3.009,3.019,3.214
20240119,GBP,0.0,30.531,30.541,31.711
20240119,EUR,0.0,25.855,26.065,27.355
20240119,DKK,0.0,0.0,3.492,3.662
20240119,CNY,0.0,0.0,3.342,3.482
20240119,CHF,0.0,27.723,27.743,28.693
20240119,CAD,0.0,17.919,17.929,18.629
20240119,AUD,0.0,15.836,15.856,16.456
20240119,THB,0.0,638.02,678.02,706.02
20240118,THB,0.0,636.6,676.6,704.6
20240118,SGD,0.0,17.71,17.72,18.52
20240118,SEK,0.0,0.0,2.268,2.403
20240118,NZD,0.0,14.739,14.749,15.329
20240118,NOK,0.0,0.0,2.253,2.373
20240118,LAK,0.0,0.0,0.69,1.39
20240118,KRW,0.0,16.15,16.35,20.15
20240118,JPY,0.0,161.68,161.83,171.38
20240118,HKD,0.0,3.01,3.02,3.215
20240118,GBP,0.0,30.594,30.604,31.774
20240118,EUR,0.0,25.827,26.037,27.327
20240118,DKK,0.0,0.0,3.489,3.659
20240118,CNY,0.0,0.0,3.343,3.483
20240118,CHF,0.0,27.777,27.797,28.747
20240118,USD,24.041,24.31,24.35,24.77
20240118,AUD,0.0,15.799,15.819,16.419
20240118,CAD,0.0,17.881,17.891,18.591
20240117,KRW,0.0,16.03,16.23,20.03
20240117,HKD,0.0,3.008,3.018,3.213
20240117,CAD,0.0,17.852,17.862,18.562
20240117,CHF,0.0,27.797,27.817,28.767
20240117,CNY,0.0,0.0,3.341,3.481
20240117,DKK,0.0,0.0,3.483,3.653
20240117,EUR,0.0,25.786,25.996,27.286
20240117,GBP,0.0,30.536,30.546,31.716
20240117,JPY,0.0,161.2,161.35,170.9
20240117,USD,24.017,24.295,24.335,24.755
20240117,LAK,0.0,0.0,0.69,1.39
20240117,NOK,0.0,0.0,2.251,2.371
20240117,NZD,0.0,14.71,14.72,15.3
20240117,SEK,0.0,0.0,2.267,2.402
20240117,SGD,0.0,17.67,17.68,18.48
20240117,AUD,0.0,15.72,15.74,16.34
20240117,THB,0.0,635.31,675.31,703.31
20240116,SGD,0.0,17.746,17.756,18.556
20240116,SEK,0.0,0.0,2.284,2.419
20240116,NZD,0.0,14.844,14.854,15.434
20240116,NOK,0.0,0.0,2.269,2.389
20240116,LAK,0.0,0.0,0.69,1.39
20240116,KRW,0.0,16.16,16.36,20.16
20240116,JPY,0.0,162.95,163.1,172.65
20240116,HKD,0.0,3.006,3.016,3.211
20240116,GBP,0.0,30.548,30.558,31.728
20240116,EUR,0.0,25.87,26.08,27.37
20240116,DKK,0.0,0.0,3.494,3.664
20240116,CNY,0.0,0.0,3.343,3.483
20240116,CHF,0.0,28.027,28.047,28.997
20240116,CAD,0.0,17.919,17.929,18.629
20240116,AUD,0.0,15.893,15.913,16.513
20240116,THB,0.0,640.76,680.76,708.76
20240116,USD,23.987,24.295,24.335,24.755
20240115,AUD,0.0,15.97,15.99,16.59
20240115,KRW,0.0,16.31,16.51,20.31
20240115,CAD,0.0,17.891,17.901,18.601
20240115,CHF,0.0,28.105,28.125,29.075
20240115,CNY,0.0,0.0,3.342,3.482
20240115,DKK,0.0,0.0,3.503,3.673
20240115,EUR,0.0,25.94,26.15,27.44
20240115,HKD,0.0,2.998,3.008,3.203
20240115,JPY,0.0,163.64,163.79,173.34
